"","sums","prop"
"BARN",17,4.46194225721785
"BEACH",27,7.08661417322835
"BRIDGE",7,1.83727034120735
"BUSHES",120,31.496062992126
"CABIN",69,18.1102362204724
"CIRRUS",28,7.3490813648294
"CLIFF",8,2.0997375328084
"CLOUDS",179,46.9816272965879
"CONIFER",212,55.6430446194226
"CUMULUS",86,22.5721784776903
"DECIDUOUS",227,59.5800524934383
"FENCE",24,6.2992125984252
"FLOWERS",12,3.1496062992126
"FOG",23,6.03674540682415
"FRAMED",53,13.9107611548556
"GRASS",142,37.2703412073491
"GUEST",22,5.7742782152231
"HILLS",18,4.7244094488189
"LAKE",143,37.5328083989501
"MOUNTAIN",160,41.994750656168
"MOUNTAINS",99,25.9842519685039
"NIGHT",11,2.88713910761155
"OCEAN",36,9.44881889763779
"OVAL_FRAME",38,9.9737532808399
"PALM_TREES",9,2.36220472440945
"PATH",49,12.8608923884514
"RIVER",126,33.0708661417323
"ROCKS",77,20.2099737532808
"SNOW",75,19.6850393700787
"SNOWY_MOUNTAIN",109,28.6089238845144
"STEVE_ROSS",11,2.88713910761155
"STRUCTURE",85,22.3097112860892
"SUN",40,10.498687664042
"TREE",361,94.750656167979
"TREES",337,88.4514435695538
"WATERFALL",39,10.2362204724409
"WAVES",34,8.9238845144357
"WINTER",69,18.1102362204724
